city,state,country,continent,doe_date,doe_date_info,pdist_date,pdist_date_info,pdist_federal_state,pdist_announced_by,pdist_enforcement,pdist_notes,citation_1,citation_2,citation_3,citation_4,citation_5,citation_6,citation_7,wikipedia_timeline
Milan,Lombardia,Italy,Europe,,,2020-03-08,GathRestAll,regional,,,"2020-01-31: Italty declares state of emergency (citation 1); 2020-02-23: Italian authorities have shut down 11 towns, mainly in the the Lombardy region (citation 2); 2020-03-08: Anyone living in Lombardy and 14 other central and northern provinces will need special permission to travel - Milan and Venice affected (citation 3); 2020-03-09: Nationwide quarantine announced (came into effect 2020-03-10, hardened 2020-03-11) (citation 4) ",https://www.cnbc.com/2020/01/31/reuters-america-update-2-italy-declares-coronavirus-emergency-after-first-two-cases-confirmed.html,https://www.theguardian.com/world/2020/feb/23/italy-draconian-measures-effort-halt-coronavirus-outbreak-spread,https://www.bbc.com/news/world-middle-east-51787238,https://www.bbc.com/news/world-europe-51810673,https://www.mirror.co.uk/news/world-news/breaking-coronavirus-italy-bans-public-21663203,,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy
Monaco,,Monaco,Europe,,,2020-03-13,GathRest100,federal,,,"2020-03-13: Bans gatherings of more than 100 people (citation 2); 2020-03-14: Government ordered closing of nurseries, gyms, parks, monuments and schools (citation 1) ",https://www.hellomonaco.com/news/latest-news/closure-of-creches-and-schools-in-monaco-and-increasing-prudent-restrictions-due-to-coronavirus/,https://forbes.mc/article/coronavirus-monaco-bans-gatherings-of-more-than-100-people,https://lagazettedemonaco.com/en/interdiction-des-regroupements-de-plus-de-100-personnes/,,,,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Monaco
Montréal,Quebec,Canada,North America,2020-03-13,DOE,2020-03-13,GathRest250,provincial,premier,ordered cancellation,2020-03-12: calling organizers to cancel large indoor events, 2020-03-13: all events >250 people are banned (per the Premier), City of Montreal state of emergency: 2020-03-27,https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/,https://globalnews.ca/news/6743123/coronavirus-montreal-declares-state-of-emergency-as-number-of-covid-19-cases-reaches-971/,https://montrealgazette.com/news/local-news/covid-19-montreal-st-patricks-parade-postponed-events-drawing-250-or-more-cancelled/,,,https://montreal.ctvnews.ca/covid-19-legault-calls-for-cancellation-of-all-events-larger-than-250-people-1.4850076
Moscow,Moscow,Russia,Europe,,,2020-03-24,ClosurePublicSpaces,federal,,,"2020-03-24: Chechnya became first region to close restaurants, cafes and crowded places (citation 1); 2020-03-24: Russian government adopted a number of decisions, including an instruction to regional authorities to suspend activities of night clubs, cinemas, children's entertainment centres, ban hookah smoking at restaurants and cafes; 2020-03-29: Stay at home order; 2020-03-30: Russia will close borders, Moscow enacted a citywide quarantine",https://www.themoscowtimes.com/2020/03/31/coronavirus-in-russia-the-latest-news-march-31-a69117,http://government.ru/orders/selection/401/39260/,,,,,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Russia
New York City,New York,United States,North America,2020-03-07,DOE,2020-03-12,GathRest500,,,,2020-03-12: GathRest500, 2020-03-16: GathRest50,https://www.governor.ny.gov/sites/governor.ny.gov/files/atoms/files/EO_202.pdf,https://www.governor.ny.gov/news/during-novel-coronavirus-briefing-governor-cuomo-announces-new-mass-gatherings-regulations,https://www.governor.ny.gov/sites/governor.ny.gov/files/atoms/files/EO_202.3.pdf,,,,
Paris,,France,Europe,,,2020-03-09,GathRest1000,federal,prime minister,bans,"2020-03-09: Bans gatherings > 1000 people; 2020-03-13: Bans gatherings of >100 people (citation 1); 2020-03-14: closure of many cultural institutions, mainly in Paris or the greater Paris region; closure of non-essential businesses; 2020-03-17: national lockdown starting at noon (citation 2)",https://www.thelocal.fr/20200313/france-bans-gatherings-of-over-100-people-to-fight-coronavirus-pandemic,https://www.independent.co.uk/news/world/europe/coronavirus-france-lockdown-cases-update-covid-19-macron-a9405136.html,http://www.rfi.fr/en/france/20200309-france-bans-public-gatherings-1000-people-over-coronavirus,,,,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_France
Philadelphia,Pennsylvania,United States,North America,2020-03-06,DOE,2020-03-12,GathRest250,,,,2020-03-16: GathRest50,https://www.scribd.com/document/450457202/2020-3-6-COVID19-Digital-Proclamation-pdf#from_embed,https://www.yonkerstribune.com/2020/03/amid-lack-of-federal-direction-governors-cuomo-murphy-lamont-and-wolf-announce-regional-approach-to-combatting-covid-19,https://www.timesleader.com/news/776061/wolf-recommends-suspending-large-gatherings-discourages-non-essential-travel,,,,,
Rhine-Ruhr,North Rhine-Westphalia,Germany,Europe,,,2020-03-08,GathRest1000,federal,health minister,recommends canceling,"2020-03-08: German Health Minister recommended to cancel events of more than 1000 attendees; 2020-03-10: Major events with more than 1000 people in North Rhine-Westphalia should be cancelled' 2020-03-13: German states mandate school and kindergarden closures (beginning 2020-03-16), postponing academic semesters and prohibiting visits to nursing homes. 2220-03-15: borders to neighbouring countries closed; 2020-03-22: curfew enacted, ban on gatherings of more than 2 people",https://www.rte.ie/news/coronavirus/2020/0308/1120971-germany-events-covid-19/,https://web.archive.org/web/20200320150813/https://www.mt.de/nrw/22720700_Landesregierung-Grossveranstaltungen-in-NRW-wegen-Corona-Virus-grundsaetzlich-absagen.html,https://web.archive.org/web/20200314160543/https://www.schulministerium.nrw.de/docs/bp/Ministerium/Presse/Pressemitteilungen/2020_17_LegPer/PM20200313_Schulschliessung/,https://www.bbc.com/news/world-europe-51999080,,,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Germany
Rome,Lazio,Italy,Europe,,,2020-03-09,GathRestAll,federal,,,"2020-01-31: Italy declares state of emergency; 2020-03-10: Nationwide quarantine (announced 2020-03-09, came into effect 2020-03-10, hardened 2020-03-11) (citation 2)",,https://www.cnbc.com/2020/01/31/reuters-america-update-2-italy-declares-coronavirus-emergency-after-first-two-cases-confirmed.html,https://www.bbc.com/news/world-europe-51810673,https://www.mirror.co.uk/news/world-news/breaking-coronavirus-italy-bans-public-21663203,,,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy
San Francisco,San Francisco,United States,North America,2020-03-04,DOE,2020-03-11,GathRest250,,,,USA: 2020-03-13, SF: 2020-02-25,https://www.gov.ca.gov/wp-content/uploads/2020/03/3.4.20-Coronavirus-SOE-Proclamation.pdf,https://www.cnn.com/2020/02/26/health/san-francisco-coronavirus-emergency-declaration/index.html,https://www.cdph.ca.gov/Programs/CID/DCDC/CDPH%20Document%20Library/Gathering_Guidance_03.11.20.pdf,,,,
São Paulo,São Paulo,Brazil,South America,,,2020-03-13,GathRest500,provincial,state government,bans,2023-03-13: GathRest500,https://g1.globo.com/sp/sao-paulo/noticia/2020/03/13/prefeitura-de-sao-paulo-cancela-todos-os-eventos-de-massa-apos-casos-de-coronavirus.ghtml,,,,,,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Brazil
Seattle,Washington,United States,North America,2020-02-29,DOE,2020-03-11,GathRest250,,,,2020-03-16: GathRest250,https://www.governor.wa.gov/sites/default/files/20-05%20Coronavirus%20%28final%29.pdf?utm_medium=email&utm_source=govdelivery,https://www.governor.wa.gov/sites/default/files/20-07%20Coronavirus%20%28tmp%29.pdf,,,,,,
Seoul,Seoul,South Korea,Asia,,,2020-02-21,EmergencyMeasures,local,,,"2020-02-18: Universities announce plans to delay start of semester; 2020-02-21: Seoul bans public spaces and protests (preceeded by ""South Korean authorities banning large gatherings, shut down educational institutions) (citation 5); ***2020-02-23***: all kindergartens, elementary schools, middle schools, high schools delay start of semester (unclear where this applies - can't translate the document) + raised the coronavirus alert to the highest level and declared a voluntary lockdown of affected cities and provinces (citation 6); 2020-02-25: Daegu officials ""aggressively warning residents to take precautions, allowing private bussinesses such as restaurants to stay open"" (though ""customers seldom come"") (citation 3); NOTE: very different strategy vs. China - aggressively monitor for infections (via testing) while keeping the city running (very thorough contact tracing, monitoring for fevers via thermal cameras; knew the original of the initial outbreak very quickly - facilitated contact tracing) - tracking ""potential carriers like detectives... using mobile phone and satellite technology"" - ""Jeremy Konyndyk, a senior policy fellow at the Center for Global Development in Washington, said extensive testing can give countries a better picture of the extent of an outbreak. When testing in a country is limited, he said, the authorities have to take bolder actions to limit the movement of people"" (citation 4)",,,https://www.nytimes.com/2020/02/25/world/asia/daegu-south-korea-coronavirus.html,https://www.aljazeera.com/news/2020/03/italy-south-korea-differ-tackling-coronavirus-outbreak-200313062505781.html,https://www.euractiv.com/section/coronavirus/news/commitment-transparency-pay-off-as-south-korea-limits-covid-19-spread/,,,https://www.newyorker.com/news/news-desk/how-south-korea-lost-control-of-its-coronavirus-outbreak
Singapore,,Singapore,Asia,2020-02-07,DorsconOrange,2020-03-20,GathRest250,,,,"2020-02-07: ""DORSCON Orange"" declared; 2020-03-20: Ban of gathering >250 people (not sure when this comes into effect); 2020-03-24: (starting 2020-03-26) Entertainment venues closed, social gatherings limited to 10 people, mass gatherings cancelled; 2020-04-03: schools, businesses to close, restaurants to be take-out only (starting 2020-04-07)",https://www.bloomberg.com/news/articles/2020-04-03/singapore-pm-says-more-steps-coming-on-virus-lee-speaks-at-4pm,https://www.channelnewsasia.com/news/singapore/covid19-events-gatherings-suspended-june-250-participants-12560620,"See figure (infographic by Kenneth Choy, source = Ministry of Health)https://www.channelnewsasia.com/news/singapore/singapore-covid-19-outbreak-evolved-coronavirus-deaths-timeline-12639444",https://www.bloomberg.com/news/articles/2020-04-21/how-singapore-flipped-from-virus-hero-to-cautionary-tale,https://www.bloomberg.com/news/articles/2020-04-10/hong-kong-edge-over-singapore-shows-early-social-distance-works,,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Singapore#Preventive_measures
St. Petersburg,St. Petersburg,Russia,Europe,,,2020-03-24,ClosurePublicSpaces,federal,,,"2020-03-24: Chechnya became first region to close restaurants, cafes and crowded places (citation 1); 2020-03-30: St. Petersburg accounced stay-at-home order following Moscow's quarantine",https://www.themoscowtimes.com/2020/03/31/coronavirus-in-russia-the-latest-news-march-31-a69117,http://government.ru/orders/selection/401/39260/,,,,,,
Stockholm,Stockholm,Sweden,Europe,,,2020-03-11,GathRest500,federal,,,2020-03-27: GathRest50 (enacted 2020-03-29),https://www.bloomberg.com/news/articles/2020-03-11/sweden-health-agency-seeks-ban-on-meetings-of-500-people-or-more,https://www.folkhalsomyndigheten.se/nyheter-och-press/nyhetsarkiv/2020/mars/forslag-inga-allmanna-sammankomster-med-fler-an-500-personer/,https://www.npr.org/sections/coronavirus-live-updates/2020/03/27/822463152/sweden-bans-groups-larger-than-50-in-its-first-major-coronavirus-crackdown,,,,,
Sydney,New South Wales,Australia,Australia,,,2020-03-13,GathRest500,federal,prime minister,advised,"2020-03-13: Prime Minister ""suggests"" cancellation of events> 500 people (schools excluded), announced on 2020-03-13, comes into effect 2020-03-15 (citation 1); 2020-03-18: human biosecurity emergency (national) (citation 2); 2020-30-20: governments of New South Wales and Victoria imposed a mandatory closure of non-essential services (citation 3)",https://www.abc.net.au/news/2020-03-13/coronavirus-scott-morrison-coag-premiers-cancelling-events/12053382,https://www.theguardian.com/world/live/2020/mar/13/australia-coronavirus-live-news-formula-one-f1-gp-grand-prix-melbourne-australian-government-stimulus-economic-package-asx200-latest-updates?page=with:block-5e6b07f08f08c2df6d278c18#block-5e6b07f08f08c2df6d278c18,https://www.theguardian.com/world/live/2020/mar/22/coronavirus-updates-live-australia-nsw-victoria-qld-tasmania-cases-government-stimulus-latest-update-news,,,,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Australia
Tokyo,Tokyo,Japan,Asia,,,2020-02-27,EmergencyMeasures,,,,"2020-02-27: schools closed (https://www.vox.com/covid-19-coronavirus-explainers/2020/3/28/21196382/japan-coronavirus-cases-covid-19-deaths-quarantine); 2020-03-02: schools close (citation 1), urge people to avoid congregating in enclosed spaces (citation 3); Has not declared state of emergency (as of 2020-03-30) (citation 2)",https://business.financialpost.com/pmn/business-pmn/japan-to-create-fund-to-subsidize-parents-during-school-closure-nikkei,https://www.npr.org/sections/coronavirus-live-updates/2020/03/30/823800576/japan-on-the-brink-but-government-resists-declaring-coronavirus-state-of-emergen,http://www.asahi.com/ajw/articles/13179915,,,,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Japan
Toronto,Ontario,Canada,North America,2020-03-17,DOE,2020-03-13,GathRest250,provincial,chief medical officer of health,recommending immediate suspension,Toronto: 2020-03-23,https://www.ontario.ca/page/2019-novel-coronavirus#section-14,https://globalnews.ca/news/6718926/coronavirus-mayor-tory-state-of-emergency-toronto/ ,https://globalnews.ca/news/6672452/ontario-health-official-coronavirus-events/,,,,,
Vancouver,British Columbia,Canada,North America,2020-03-18,DOE,2020-03-12,GathRest250,provincial,provincial health officer,bans,PH emergency declared 2020-03-17,https://news.gov.bc.ca/releases/2020PSSG0017-000511,https://www.cbc.ca/news/canada/british-columbia/b-c-declares-public-health-emergency-with-186-cases-of-covid-19-and-7-deaths-1.5500783,https://www.vicnews.com/news/covid-19-province-bans-large-gatherings-in-b-c/,,,,,
Vienna,Vienna,Austria,Europe,2020-03-16,Nationwide shutdown,2020-03-10,GathRest100,federal,health minister,by decree,"2020-03-10: Anschober (Health Minister) explained that as of Wednesday, outdoor events with over 500 participants and indoor events with over 100 participants will be canceled by decree until the beginning of April; Austria closes schools; Universities would close their classes at the latest by 2020-03-16; children > 14 ordered to stay home starting 2020-03-15, younger children starting 2020-03-17 (citation 1/2);  2020-03-15: ban announced for public gatherings of more than 5 people, restaurants ordered to closed by 2020-03-17; 2020-03-15: governor of Tyrol accounced a one-week lockdown for the whole province (citation 3); 2020-03-16:  nationwide - homes may only be left for one of few reasons (citation 4)",https://orf.at/stories/3157262/,,,https://www.bostonglobe.com/2020/03/15/business/austria-shuts-restaurants-bans-some-flights/,https://orf.at/stories/3158055/,,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Austria#cite_note-14
Washington DC,District of Columbia,United States,North America,2020-03-11,DOE,2020-03-13,GathRest250,,,,2020-03-16: GathRest50,https://mayor.dc.gov/sites/default/files/dc/sites/mayormb/release_content/attachments/MO.DeclarationofPublicEmergency03.11.20.pdf,https://coronavirus.dc.gov/sites/default/files/dc/sites/coronavirus/release_content/attachments/DOH_Rulemaking_Mass-Gatherings.pdf,https://mayor.dc.gov/sites/default/files/dc/sites/mayormb/publication/attachments/MO-Prohibition-on-Mass-Gatherings-During-Public-Health-Emergency.pdf,,,,,
